,importance
heartbeat_gap_max_min,0.1363
start_hour,0.1315
file_op_count,0.1065
distinct_domains,0.0902
heartbeat_gap_mean_min,0.0819
actions_per_active_min,0.0612
session_duration_min,0.0601
app_launch_count,0.0575
usb_insert_count,0.046
heartbeat_count,0.0408
blocked_url_count,0.0366
blocked_url_rate_hr,0.0358
day_of_week,0.0334
chat_request_count,0.0285
tool_invoke_count,0.028
distinct_workstations,0.0187
is_guest_account,0.0072
