feature,solo_auc
file_op_count,0.609
heartbeat_gap_max_min,0.6041
start_hour,0.5919
distinct_domains,0.5876
app_launch_count,0.5694
blocked_url_count,0.5608
heartbeat_gap_mean_min,0.5537
distinct_workstations,0.549
heartbeat_count,0.5475
day_of_week,0.5444
usb_insert_count,0.539
session_duration_min,0.529
blocked_url_rate_hr,0.5116
is_guest_account,0.5069
actions_per_active_min,0.5034
chat_request_count,0.4993
tool_invoke_count,0.4964
